Neighborhood,Type,Price,Beds,Baths,Built Year,Longitude,Latitude,Link
Inner Richmond,Single Family Residence,888000,3,1,1911,-122.475296,37.77991,https://www.zillow.com/homedetails/427-16th-Ave-San-Francisco-CA-94118/15094085_zpid/
Outer Sunset,Single Family Residence,995000,2,1,1926,-122.49338,37.761646,https://www.zillow.com/homedetails/1367-34th-Ave-San-Francisco-CA-94122/15103590_zpid/
Pacific Heights,Single Family Residence,32000000,4,10,1987,-122.44629,37.79317,https://www.zillow.com/homedetails/2990-Broadway-St-San-Francisco-CA-94115/15080779_zpid/
Dolores Heights,Condominium,1095000,3,1,,-122.42891,37.7542,https://www.zillow.com/homedetails/22-Vicksburg-St-San-Francisco-CA-94114/440810131_zpid/
Mission Dolores,Condominium,849000,3,2,1890,-122.42788,37.76315,https://www.zillow.com/homedetails/3670-17th-St-San-Francisco-CA-94114/2101129533_zpid/
Outer Sunset,Single Family Residence,1195000,2,2,1928,-122.48846,37.75989,https://www.zillow.com/homedetails/1470-30th-Ave-San-Francisco-CA-94122/15105031_zpid/
Bernal Heights,Single Family Residence,1450000,3,2,1948,-122.4161,37.745403,https://www.zillow.com/homedetails/2-Aztec-St-San-Francisco-CA-94110/15160053_zpid/
Portola,Single Family Residence,649000,3,2,1952,-122.40892,37.720146,https://www.zillow.com/homedetails/857-Dartmouth-St-San-Francisco-CA-94134/15172200_zpid/
Russian Hill,Single Family Residence,2995000,3,3,1906,-122.41849,37.79789,https://www.zillow.com/homedetails/1834-Hyde-St-San-Francisco-CA-94109/332849867_zpid/
Outer Richmond,Single Family Residence,1195000,2,1,1920,-122.48251,37.77598,https://www.zillow.com/homedetails/619-23rd-Ave-San-Francisco-CA-94121/15097631_zpid/
Golden Gate Heights,Single Family Residence,1195000,3,3,1962,-122.471344,37.75943,https://www.zillow.com/homedetails/57-Lurline-St-San-Francisco-CA-94122/15106455_zpid/
Pacific Heights,Single Family Residence,4350000,5,5,2017,-122.433266,37.788227,https://www.zillow.com/homedetails/2268-Pine-St-San-Francisco-CA-94115/15075188_zpid/
Pacific Heights,Condominium,1395000,2,2,1900,-122.433525,37.790955,https://www.zillow.com/homedetails/2456-Clay-St-San-Francisco-CA-94115/241585578_zpid/
Marina District,Condominium,1875000,3,2,,-122.438156,37.803204,https://www.zillow.com/homedetails/45-Cervantes-Blvd-San-Francisco-CA-94123/79844114_zpid/
Outer Sunset,Single Family Residence,1098000,3,2,1944,-122.50218,37.745872,https://www.zillow.com/homedetails/3324-Rivera-St-San-Francisco-CA-94116/15117001_zpid/
Cow Hollow,Single Family Residence,22000000,5,8,1906,-122.44149,37.79607,https://www.zillow.com/homedetails/2567-Union-St-San-Francisco-CA-94123/15080664_zpid/
Mission,Triplex,699000,6,3,1923,-122.411385,37.749336,https://www.zillow.com/homedetails/3001-3005-Harrison-St-San-Francisco-CA-94110/332861280_zpid/
Inner Richmond,Duplex,899000,5,0,1906,-122.46214,37.776554,https://www.zillow.com/homedetails/639-641-4th-Ave-San-Francisco-CA-94118/332855917_zpid/
Parkside,Single Family Residence,1288000,3,2,1939,-122.4932,37.735268,https://www.zillow.com/homedetails/2776-36th-Ave-San-Francisco-CA-94116/15125875_zpid/
Excelsior,Single Family Residence,599995,2,1,1916,-122.430756,37.71921,https://www.zillow.com/homedetails/566-Athens-St-San-Francisco-CA-94112/15171284_zpid/
Monterey Heights,Single Family Residence,2295000,3,3,1936,-122.462006,37.733326,https://www.zillow.com/homedetails/184-Maywood-Dr-San-Francisco-CA-94127/15137284_zpid/
Diamond Heights,Condominium,899000,2,2,1980,-122.43998,37.746044,https://www.zillow.com/homedetails/5175-Diamond-Heights-Blvd-APT-101-San-Francisco-CA-94131/15199408_zpid/
Mission,Single Family Residence,4995000,4,6,1872,-122.417175,37.75786,https://www.zillow.com/homedetails/956-S-Van-Ness-Ave-San-Francisco-CA-94110/15145720_zpid/
South Beach,Condominium,428206,2,1,2006,-122.38938,37.78616,https://www.zillow.com/homedetails/501-Beale-St-UNIT-11F-San-Francisco-CA-94105/69819296_zpid/
Sunnyside,Single Family Residence,1159000,3,2,1957,-122.44316,37.733246,https://www.zillow.com/homedetails/246-Mangels-Ave-San-Francisco-CA-94131/15137766_zpid/
Sunnyside,Single Family Residence,849000,3,2,1911,-122.44684,37.727737,https://www.zillow.com/homedetails/115-Edna-St-San-Francisco-CA-94112/15140862_zpid/
Presidio Heights,Single Family Residence,10600000,6,4,1909,-122.45745,37.78844,https://www.zillow.com/homedetails/207-Cherry-St-San-Francisco-CA-94118/15081604_zpid/
Pacific Heights,Condominium,1395000,2,1,1916,-122.423416,37.790966,https://www.zillow.com/homedetails/1855-Sacramento-St-APT-2-San-Francisco-CA-94109/15074856_zpid/
Pacific Heights,Condominium,1995000,3,3,,-122.4447,37.789658,https://www.zillow.com/homedetails/3128-Clay-St-San-Francisco-CA-94115/2094846566_zpid/
Bernal Heights,Single Family Residence,1395000,4,4,1926,-122.41661,37.735424,https://www.zillow.com/homedetails/649-Andover-St-San-Francisco-CA-94110/15164233_zpid/
Portola,Single Family Residence,1199950,3,3,1900,-122.413795,37.72917,https://www.zillow.com/homedetails/818-Silliman-St-San-Francisco-CA-94134/15166837_zpid/
Corona Heights,Condominium,1995000,3,2,1968,-122.43776,37.766438,https://www.zillow.com/homedetails/75-Roosevelt-Way-APT-3-San-Francisco-CA-94114/184817380_zpid/
Outer Sunset,Single Family Residence,868000,2,1,1941,-122.503654,37.74024,https://www.zillow.com/homedetails/2487-45th-Ave-San-Francisco-CA-94116/15121564_zpid/
Western Addition,Condominium,579000,1,1,1981,-122.43898,37.7822,https://www.zillow.com/homedetails/1350-Divisadero-St-APT-204-San-Francisco-CA-94115/15083919_zpid/
Bret Harte,Single Family Residence,520000,2,2,1918,-122.39269,37.718407,https://www.zillow.com/homedetails/28-Redondo-St-San-Francisco-CA-94124/15154841_zpid/
Sutro Heights,Single Family Residence,1580000,3,3,1925,-122.50359,37.776684,https://www.zillow.com/homedetails/630-43rd-Ave-San-Francisco-CA-94121/15096233_zpid/
Japantown,Single Family Residence,2995000,4,3,1878,-122.43264,37.787716,https://www.zillow.com/homedetails/16-Wilmot-St-San-Francisco-CA-94115/441208410_zpid/
Pacific Heights,Triplex,6499000,5,6,1900,-122.44379,37.78902,https://www.zillow.com/homedetails/1910-Baker-St-San-Francisco-CA-94115/2108308290_zpid/
Seacliff,Single Family Residence,4495000,3,4,1907,-122.4858,37.787777,https://www.zillow.com/homedetails/226-El-Camino-Del-Mar-San-Francisco-CA-94121/15088633_zpid/
Parnassus Heights,Single Family Residence,2195000,,0,1907,-122.4552,37.76201,https://www.zillow.com/homedetails/205-Edgewood-Ave-San-Francisco-CA-94117/15128026_zpid/
Peralta Heights,Single Family Residence,1650000,3,5,2024,-122.40677,37.743584,https://www.zillow.com/homedetails/9-Joy-St-San-Francisco-CA-94110/125244308_zpid/
Anza Vista,Duplex,2188000,4,4,1904,-122.44098,37.7808,https://www.zillow.com/homedetails/1129-1131-Broderick-St-San-Francisco-CA-94115/332852551_zpid/
Hayes Valley,Condominium,1195000,3,2,1890,-122.43043,37.77526,https://www.zillow.com/homedetails/760-Fell-St-San-Francisco-CA-94117/440040231_zpid/
Presidio Heights,Condominium,3750000,3,3,1913,-122.45465,37.78978,https://www.zillow.com/homedetails/3629-Jackson-St-San-Francisco-CA-94118/53734194_zpid/
South of Market,Condominium,695000,1,1,2000,-122.40884,37.775017,https://www.zillow.com/homedetails/59-Rodgers-St-B-San-Francisco-CA-94103/80751086_zpid/
Hunters Point,Condominium,245201,1,1,2015,-122.368904,37.7288,https://www.zillow.com/homedetails/551-Hudson-Ave-UNIT-303-San-Francisco-CA-94124/249664522_zpid/
Outer Richmond,Condominium,749000,2,2,1941,-122.50161,37.777557,https://www.zillow.com/homedetails/4950-Anza-St-San-Francisco-CA-94121/441205142_zpid/
Downtown,Condominium,1048000,1,2,2006,-122.40756,37.786274,https://www.zillow.com/homedetails/181-Ofarrell-St-SUITE-303-San-Francisco-CA-94102/82785261_zpid/
Parkside,Mixed Use,1300000,3,0,1927,-122.47948,37.74269,https://www.zillow.com/homedetails/1227-1229-Taraval-St-San-Francisco-CA-94116/241584510_zpid/
Noe Valley,Condominium,1499000,4,3,1900,-122.42692,37.74356,https://www.zillow.com/homedetails/1702-Church-St-San-Francisco-CA-94131/2054302660_zpid/
South Beach,Condominium,999000,1,2,1992,-122.39248,37.78358,https://www.zillow.com/homedetails/355-Bryant-St-UNIT-411-San-Francisco-CA-94107/80749789_zpid/
Lower Pacific Heights,Condominium,975000,2,2,1982,-122.4461,37.785057,https://www.zillow.com/homedetails/720-Presidio-Ave-302-San-Francisco-CA-94115/15083279_zpid/
Nob Hill,Condominium,560000,0,1,1949,-122.415855,37.79351,https://www.zillow.com/homedetails/1340-Leavenworth-St-San-Francisco-CA-94109/2111151827_zpid/
Inner Sunset,Duplex,991208,4,0,1938,-122.47046,37.76552,https://www.zillow.com/homedetails/1204-Funston-Ave-San-Francisco-CA-94122/441202220_zpid/
Lower Nob Hill,Condominium,402272,2,2,2014,-122.4181,37.78825,https://www.zillow.com/homedetails/1080-Sutter-St-APT-402-San-Francisco-CA-94109/123174986_zpid/
Cathedral Hill,Condominium,495000,1,1,1982,-122.42133,37.781116,https://www.zillow.com/homedetails/601-Van-Ness-Ave-UNIT-809-San-Francisco-CA-94102/15077814_zpid/
Noe Valley,Condominium,1545000,2,2,1966,-122.42453,37.74743,https://www.zillow.com/homedetails/1375-Dolores-St-San-Francisco-CA-94110/2060469253_zpid/
Hayes Valley,Condominium,695000,1,1,1900,-122.427605,37.775715,https://www.zillow.com/homedetails/618-Buchanan-St-A-San-Francisco-CA-94102/441164824_zpid/
Bernal Heights,Single Family Residence,1895000,4,3,1962,-122.409485,37.73819,https://www.zillow.com/homedetails/289-Bradford-St-San-Francisco-CA-94110/15163029_zpid/
Marina District,Triplex,2850000,5,5,1926,-122.44568,37.801346,https://www.zillow.com/homedetails/2347-Bay-St-2351-San-Francisco-CA-94123/332851858_zpid/
Rincon Hill,Condominium,1200000,1,1,1991,-122.389755,37.789803,https://www.zillow.com/homedetails/75-Folsom-St-APT-1200-San-Francisco-CA-94105/15147563_zpid/
Parkside,Single Family Residence,888000,2,2,1935,-122.49137,37.740734,https://www.zillow.com/homedetails/3244-Ulloa-St-San-Francisco-CA-94116/15122101_zpid/
Noe Valley,Condominium,1050000,2,1,1904,-122.429184,37.743835,https://www.zillow.com/homedetails/1582-Sanchez-St-San-Francisco-CA-94131/2108069834_zpid/
Lake,Single Family Residence,4296000,5,5,,-122.46224,37.785965,https://www.zillow.com/homedetails/152-4th-Ave-San-Francisco-CA-94118/15089577_zpid/
Outer Sunset,Single Family Residence,1295000,5,3,1927,-122.48281,37.75633,https://www.zillow.com/homedetails/1674-25th-Ave-San-Francisco-CA-94122/15109200_zpid/
Parkside,Single Family Residence,998000,3,7,1947,-122.4955,37.73456,https://www.zillow.com/homedetails/2661-Yorba-St-San-Francisco-CA-94116/15126326_zpid/
Hunters Point,Townhouse,575000,3,3,1981,-122.37364,37.72762,https://www.zillow.com/homedetails/633-La-Salle-Ave-76-San-Francisco-CA-94124/15153145_zpid/
Potrero Hill,Condominium,1450000,3,3,1987,-122.400734,37.752445,https://www.zillow.com/homedetails/1376-De-Haro-St-San-Francisco-CA-94107/2090856880_zpid/
Silver Terrace,Single Family Residence,699000,2,1,1943,-122.39729,37.732807,https://www.zillow.com/homedetails/220-Topeka-Ave-San-Francisco-CA-94124/15157424_zpid/
St. Marys Park,Single Family Residence,1449000,4,4,1948,-122.42938,37.734272,https://www.zillow.com/homedetails/1-Milton-St-San-Francisco-CA-94112/15184871_zpid/
Potrero Hill,Single Family Residence,1695000,3,2,1904,-122.40097,37.7605,https://www.zillow.com/homedetails/739-De-Haro-St-San-Francisco-CA-94107/15149866_zpid/
Mission,Single Family Residence,1550000,5,3,1915,-122.415695,37.755207,https://www.zillow.com/homedetails/822-Shotwell-St-San-Francisco-CA-94110/332860097_zpid/
Bernal Heights,Single Family Residence,1495000,4,3,1929,-122.41471,37.735794,https://www.zillow.com/homedetails/603-Ellsworth-St-San-Francisco-CA-94110/15164153_zpid/
Mission Dolores,Condominium,649000,1,1,1905,-122.426506,37.763386,https://www.zillow.com/homedetails/380-Dolores-St-6-San-Francisco-CA-94114/2061692494_zpid/
South Beach,Single Family Residence,554950,5,3,2024,-122.38991,37.778366,https://www.zillow.com/homedetails/332-Stellar-Wind-Dr-Andice-TX-78628/441176664_zpid/
Russian Hill,Condominium,2795000,2,2,1961,-122.42102,37.80306,https://www.zillow.com/homedetails/1080-Chestnut-St-APT-3C-San-Francisco-CA-94109/80737942_zpid/
Buena Vista,Single Family Residence,2795000,3,3,1906,-122.43754,37.768326,https://www.zillow.com/homedetails/136-Alpine-Ter-San-Francisco-CA-94117/439897782_zpid/
Dolores Heights,Single Family Residence,6695000,4,4,1978,-122.42911,37.755836,https://www.zillow.com/homedetails/350-Hill-St-San-Francisco-CA-94114/15146172_zpid/
South of Market,Apartment,749000,1,2,2002,-122.39673,37.784115,https://www.zillow.com/homedetails/77-Dow-Pl-APT-508-San-Francisco-CA-94107/60966628_zpid/
Noe Valley,Condominium,999000,2,1,,-122.4255,37.748726,https://www.zillow.com/homedetails/3820-26th-St-San-Francisco-CA-94114/441203456_zpid/
Panhandle,Duplex,2200000,6,4,1913,-122.44446,37.775593,https://www.zillow.com/homedetails/630-632-Central-Ave-San-Francisco-CA-94117/332852904_zpid/
Outer Sunset,Duplex,1395000,4,2,1909,-122.478065,37.76464,https://www.zillow.com/homedetails/1238-1240-20th-Ave-San-Francisco-CA-94122/440244743_zpid/
Russian Hill,Condominium,480548,1,1,1923,-122.42114,37.799725,https://www.zillow.com/homedetails/2363-Larkin-St-APT-32-San-Francisco-CA-94109/15071591_zpid/
Marina District,Single Family Residence,4199000,5,3,1927,-122.44428,37.80098,https://www.zillow.com/homedetails/2370-Francisco-St-San-Francisco-CA-94123/15079996_zpid/
Outer Sunset,Single Family Residence,1590000,3,2,1928,-122.49913,37.76024,https://www.zillow.com/homedetails/1422-40th-Ave-San-Francisco-CA-94122/15104602_zpid/
Glen Park,Single Family Residence,2295000,3,3,1910,-122.440674,37.733963,https://www.zillow.com/homedetails/64-Nordhoff-St-San-Francisco-CA-94131/15185776_zpid/
Outer Richmond,Triplex,1698000,9,3,1913,-122.48274,37.778114,https://www.zillow.com/homedetails/505-509-23rd-Ave-San-Francisco-CA-94121/332855378_zpid/
Pacific Heights,Single Family Residence,7850000,5,7,1900,-122.44538,37.78996,https://www.zillow.com/homedetails/3169-Washington-St-San-Francisco-CA-94115/15081870_zpid/
Cow Hollow,Single Family Residence,6200000,4,4,1913,-122.44489,37.796684,https://www.zillow.com/homedetails/2763-Filbert-St-San-Francisco-CA-94123/15080486_zpid/
Lower Pacific Heights,Single Family Residence,4749000,5,5,1900,-122.43836,37.788086,https://www.zillow.com/homedetails/2679-California-St-San-Francisco-CA-94115/15075240_zpid/
Upper Market,Condominium,1895000,4,3,1963,-122.44215,37.750637,https://www.zillow.com/homedetails/4465-24th-St-San-Francisco-CA-94114/121338518_zpid/
Silver Terrace,Single Family Residence,729000,3,1,1930,-122.392715,37.73482,https://www.zillow.com/homedetails/1683-Palou-Ave-San-Francisco-CA-94124/15156591_zpid/
Nob Hill,Condominium,699000,2,1,1910,-122.415695,37.791473,https://www.zillow.com/homedetails/1100-Leavenworth-St-APT-4-San-Francisco-CA-94109/440546563_zpid/
Western Addition,Condominium,599000,2,1,1986,-122.43709,37.781895,https://www.zillow.com/homedetails/1864-Ellis-St-APT-E-San-Francisco-CA-94115/394627643_zpid/
South Beach,Condominium,1385000,2,3,2002,-122.39389,37.782578,https://www.zillow.com/homedetails/415-Bryant-St-APT-8-San-Francisco-CA-94107/80748058_zpid/
Outer Richmond,Single Family Residence,2898000,5,3,1917,-122.479355,37.783997,https://www.zillow.com/homedetails/200-20th-Ave-San-Francisco-CA-94121/332854160_zpid/
Russian Hill,Condominium,4125000,3,4,1906,-122.42154,37.8001,https://www.zillow.com/homedetails/1338-Filbert-St-UNIT-D-San-Francisco-CA-94109/15071548_zpid/
Parnassus Heights,Condominium,999000,2,1,1903,-122.453224,37.764088,https://www.zillow.com/homedetails/12-Woodland-Ave-3-San-Francisco-CA-94117/89236965_zpid/
Lower Pacific Heights,Single Family Residence,6500000,4,4,1900,-122.442085,37.786346,https://www.zillow.com/homedetails/1709-Broderick-St-San-Francisco-CA-94115/15083084_zpid/
Lower Haight,Condominium,699000,1,1,1900,-122.435356,37.773537,https://www.zillow.com/homedetails/972-Oak-St-San-Francisco-CA-94117/249664934_zpid/
Rincon Hill,Condominium,1548000,2,2,2014,-122.39199,37.786373,https://www.zillow.com/homedetails/401-Harrison-St-APT-17B-San-Francisco-CA-94105/249698401_zpid/
South of Market,Condominium,788000,2,2,1998,-122.399445,37.774647,https://www.zillow.com/homedetails/175-Bluxome-St-UNIT-216-San-Francisco-CA-94107/80738116_zpid/
Mission,Condominium,1149000,2,3,1999,-122.408455,37.762104,https://www.zillow.com/homedetails/2600-18th-St-SUITE-7-San-Francisco-CA-94110/59779959_zpid/
Pacific Heights,Triplex,4895000,5,6,1900,-122.44044,37.789215,https://www.zillow.com/homedetails/2888-Sacramento-St-San-Francisco-CA-94115/2086619255_zpid/
South of Market,Condominium,699900,1,1,2009,-122.39616,37.790382,https://www.zillow.com/homedetails/301-Mission-St-APT-23D-San-Francisco-CA-94105/111710973_zpid/
Nob Hill,Single Family Residence,1800000,8,7,1909,-122.41069,37.795906,https://www.zillow.com/homedetails/37-John-St-San-Francisco-CA-94133/440276407_zpid/
Inner Richmond,Condominium,1375000,2,2,1921,-122.47348,37.775307,https://www.zillow.com/homedetails/684-15th-Ave-San-Francisco-CA-94118/116155938_zpid/
Pacific Heights,Condominium,3495000,4,3,1926,-122.429955,37.79614,https://www.zillow.com/homedetails/1980-Vallejo-St-APT-3-San-Francisco-CA-94123/15072290_zpid/
Parkside,Duplex,2395000,4,2,1949,-122.50621,37.737663,https://www.zillow.com/homedetails/2626-Great-Hwy-San-Francisco-CA-94116/2094524725_zpid/
Excelsior,Single Family Residence,1495000,3,3,1900,-122.42995,37.718594,https://www.zillow.com/homedetails/578-Moscow-St-San-Francisco-CA-94112/15171335_zpid/
Dolores Heights,Condominium,1298000,2,2,1904,-122.42569,37.753918,https://www.zillow.com/homedetails/974-Dolores-St-San-Francisco-CA-94110/2108850619_zpid/
Inner Richmond,Quadruplex,1800000,8,0,1966,-122.46947,37.78176,https://www.zillow.com/homedetails/350-11th-Ave-San-Francisco-CA-94118/440578506_zpid/
University Mound,Single Family Residence,1249000,3,3,1949,-122.414154,37.724537,https://www.zillow.com/homedetails/421-Princeton-St-San-Francisco-CA-94134/15170081_zpid/
Ingleside Terrace,Single Family Residence,2395000,5,4,1922,-122.4657,37.726303,https://www.zillow.com/homedetails/2085-Ocean-Ave-San-Francisco-CA-94127/15187218_zpid/
Potrero Hill,Townhouse,850000,3,1,1984,-122.40049,37.75083,https://www.zillow.com/homedetails/7-Fontinella-Ter-San-Francisco-CA-94107/15152765_zpid/
Nob Hill,Condominium,1295000,3,2,1908,-122.4152,37.795063,https://www.zillow.com/homedetails/1212-Jackson-St-San-Francisco-CA-94109/339979254_zpid/
Inner Richmond,Single Family Residence,2495000,5,4,1912,-122.47547,37.781136,https://www.zillow.com/homedetails/371-16th-Ave-San-Francisco-CA-94118/15091852_zpid/
Noe Valley,Single Family Residence,2599000,2,4,1942,-122.4376,37.746113,https://www.zillow.com/homedetails/783-27th-St-San-Francisco-CA-94131/15182228_zpid/
Lower Pacific Heights,Condominium,999000,2,1,1905,-122.446526,37.787155,https://www.zillow.com/homedetails/3193-California-St-San-Francisco-CA-94115/15082731_zpid/
Lower Nob Hill,Condominium,386023,1,1,2010,-122.41225,37.7892,https://www.zillow.com/homedetails/723-Taylor-St-201-San-Francisco-CA-94108/111710709_zpid/
Chinatown,Condominium,1095000,2,2,1908,-122.4094,37.794262,https://www.zillow.com/homedetails/1022-Powell-St-APT-1-San-Francisco-CA-94108/2081148577_zpid/
Seacliff,Single Family Residence,4388000,4,4,1924,-122.49178,37.78408,https://www.zillow.com/homedetails/55-Sea-View-Ter-San-Francisco-CA-94121/15090578_zpid/
Cole Valley,Condominium,2295000,4,3,1907,-122.44898,37.768017,https://www.zillow.com/homedetails/136-Belvedere-St-San-Francisco-CA-94117/15087103_zpid/
Golden Gate Heights,Single Family Residence,1711000,2,3,1927,-122.47197,37.74431,https://www.zillow.com/homedetails/2340-Cecilia-Ave-San-Francisco-CA-94116/15120197_zpid/
Lower Nob Hill,Condominium,375000,0,1,1982,-122.41273,37.789944,https://www.zillow.com/homedetails/960-Bush-St-113-San-Francisco-CA-94109/15068967_zpid/
Diamond Heights,Condominium,429900,1,1,1975,-122.43721,37.741646,https://www.zillow.com/homedetails/45-Ora-Way-UNIT-204A-San-Francisco-CA-94131/15199790_zpid/
Noe Valley,Triplex,2995000,6,4,,-122.42533,37.74975,https://www.zillow.com/homedetails/1210-Dolores-St-San-Francisco-CA-94110/2060472103_zpid/
Outer Mission,Condominium,695000,2,2,1998,-122.451515,37.709515,https://www.zillow.com/homedetails/5810-Mission-St-APT-307-San-Francisco-CA-94112/40372167_zpid/
Pacific Heights,Condominium,1245000,2,1,1927,-122.42547,37.79611,https://www.zillow.com/homedetails/2341-Franklin-St-APT-2-San-Francisco-CA-94123/15072862_zpid/
Eureka Valley,Single Family Residence,2595000,3,3,1942,-122.44094,37.756985,https://www.zillow.com/homedetails/45-Grand-View-Ave-San-Francisco-CA-94114/15129838_zpid/
Laguna Honda,Single Family Residence,2995000,4,4,1994,-122.45915,37.74164,https://www.zillow.com/homedetails/189-Knockash-Hl-San-Francisco-CA-94127/15133104_zpid/
Glen Park,Single Family Residence,1100000,3,1,1951,-122.43352,37.73621,https://www.zillow.com/homedetails/37-Sussex-St-San-Francisco-CA-94131/15185028_zpid/
Pacific Heights,Condominium,998000,1,1,1975,-122.434784,37.79499,https://www.zillow.com/homedetails/2295-Vallejo-St-APT-302-San-Francisco-CA-94123/15072603_zpid/
Mission,Condominium,979000,2,2,2020,-122.421936,37.748386,https://www.zillow.com/homedetails/3620-Cesar-Chavez-St-301-San-Francisco-CA-94110/335654447_zpid/
Pacific Heights,Condominium,1749000,2,2,1890,-122.44298,37.788826,https://www.zillow.com/homedetails/3016-Sacramento-St-San-Francisco-CA-94115/15082108_zpid/
South of Market,Condominium,1528000,2,3,2001,-122.40738,37.777977,https://www.zillow.com/homedetails/170-Russ-St-San-Francisco-CA-94103/59779848_zpid/
Russian Hill,Stock Cooperative,12850000,4,6,1929,-122.41768,37.799637,https://www.zillow.com/homedetails/1100-Union-St-1000-San-Francisco-CA-94109/80754918_zpid/
Potrero Hill,Duplex,1375000,5,0,,-122.401306,37.753857,https://www.zillow.com/homedetails/1255-1257-Rhode-Island-St-San-Francisco-CA-94107/332861083_zpid/
Lake Street,Condominium,1095000,2,2,1992,-122.4778,37.78445,https://www.zillow.com/homedetails/5606-California-St-102-San-Francisco-CA-94121/15090171_zpid/
Bernal Heights,Condominium,788000,2,1,1925,-122.42205,37.74175,https://www.zillow.com/homedetails/3431-Mission-St-APT-4-San-Francisco-CA-94110/114316973_zpid/
Western Addition,Condominium,1099000,2,2,2007,-122.43214,37.781666,https://www.zillow.com/homedetails/1310-Fillmore-St-APT-403-San-Francisco-CA-94115/82785367_zpid/
Diamond Heights,Single Family Residence,2300000,4,5,1968,-122.43892,37.73965,https://www.zillow.com/homedetails/340-Gold-Mine-Dr-San-Francisco-CA-94131/15199646_zpid/
Hunters Point,Single Family Residence,988800,3,3,,-122.37054,37.727066,https://www.zillow.com/homedetails/67-Kirkwood-Ave-San-Francisco-CA-94124/184766193_zpid/
Cow Hollow,Single Family Residence,8750000,4,5,2014,-122.445656,37.796333,https://www.zillow.com/homedetails/2735-Baker-St-San-Francisco-CA-94123/2055942589_zpid/
Telegraph Hill,Condominium,799000,1,1,1936,-122.40437,37.80181,https://www.zillow.com/homedetails/1360-Montgomery-St-APT-1-San-Francisco-CA-94133/15065727_zpid/
Mission,Condominium,995000,2,1,1900,-122.40883,37.760967,https://www.zillow.com/homedetails/627-York-St-A-San-Francisco-CA-94110/122063972_zpid/
Rincon Hill,Condominium,899000,2,2,2004,-122.39324,37.786858,https://www.zillow.com/homedetails/355-1st-St-UNIT-S202-San-Francisco-CA-94105/64972582_zpid/
Potrero Hill,Condominium,1479000,2,2,2022,-122.39914,37.765526,https://www.zillow.com/homedetails/88-Arkansas-St-409-San-Francisco-CA-94107/338980252_zpid/
Polk Gulch,Condominium,995000,2,2,1991,-122.42224,37.794193,https://www.zillow.com/homedetails/1650-Jackson-St-APT-408-San-Francisco-CA-94109/15073693_zpid/
Polk Gulch,Condominium,1099000,1,1,1986,-122.42109,37.793957,https://www.zillow.com/homedetails/1591-Jackson-St-302-San-Francisco-CA-94109/15073762_zpid/
Oceanview,Single Family Residence,2300000,4,5,2023,-122.45455,37.718143,https://www.zillow.com/homedetails/511-Lakeview-Ave-San-Francisco-CA-94112/184805922_zpid/
Lake,Condominium,2395000,3,3,1900,-122.46762,37.78538,https://www.zillow.com/homedetails/162-9th-Ave-San-Francisco-CA-94118/335653577_zpid/
Lower Haight,Triplex,2090000,6,1,1900,-122.431015,37.77183,https://www.zillow.com/homedetails/533-537-Haight-St-San-Francisco-CA-94117/241583573_zpid/
Outer Sunset,Duplex,2380000,5,4,1951,-122.50027,37.744255,https://www.zillow.com/homedetails/2278-2278A-42nd-2278a-Ave-San-Francisco-CA-94116/440628257_zpid/
Mission Bay,Condominium,498000,1,1,2004,-122.39367,37.777626,https://www.zillow.com/homedetails/260-King-St-UNIT-961-San-Francisco-CA-94107/69819799_zpid/
Central Waterfront,Condominium,899000,1,2,1999,-122.39082,37.750614,https://www.zillow.com/homedetails/1568-Indiana-St-APT-2-San-Francisco-CA-94107/80730979_zpid/
Cow Hollow,Condominium,1595000,2,2,2021,-122.43944,37.799202,https://www.zillow.com/homedetails/3131-Pierce-St-303-San-Francisco-CA-94131/337887604_zpid/
South of Market,Condominium,900000,2,2,2009,-122.39616,37.790382,https://www.zillow.com/homedetails/301-Mission-St-APT-18E-San-Francisco-CA-94105/111910164_zpid/
Japantown,Stock Cooperative,630000,3,2,,-122.428474,37.784588,https://www.zillow.com/homedetails/1545-Geary-Blvd-APT-3-San-Francisco-CA-94115/64971969_zpid/
Mission Bay,Condominium,1450000,2,2,2008,-122.38741,37.77194,https://www.zillow.com/homedetails/325-China-Basin-St-UNIT-515-San-Francisco-CA-94158/89240647_zpid/
Bernal Heights,N/A,55000,,,,-122.418076,37.73319,https://www.zillow.com/homedetails/157-Porter-St-San-Francisco-CA-94110/125309347_zpid/
Inner Sunset,Condominium,1595000,2,3,1908,-122.46408,37.765408,https://www.zillow.com/homedetails/1230-7th-Ave-San-Francisco-CA-94122/15102297_zpid/
Pacific Heights,Condominium,1195000,1,1,1929,-122.4453,37.790977,https://www.zillow.com/homedetails/3045-Jackson-St-APT-603-San-Francisco-CA-94115/15081385_zpid/
Union Street,Condominium,1950000,2,3,1908,-122.432,37.799225,https://www.zillow.com/homedetails/1937-Greenwich-St-San-Francisco-CA-94123/440621996_zpid/
Mission Bay,Condominium,1345000,2,2,2016,-122.39407,37.771774,https://www.zillow.com/homedetails/718-Long-Bridge-St-APT-113-San-Francisco-CA-94158/241585469_zpid/
Hayes Valley,Condominium,1149000,2,3,1890,-122.427,37.776577,https://www.zillow.com/homedetails/640-Hayes-St-San-Francisco-CA-94102/440714866_zpid/
